session_id,persona,reference_query,best_prediction,best_pred_number,best_similarity,avg_similarity,ranked_predictions,all_similarities,best_sbert_similarity,avg_sbert_similarity,all_sbert_similarities
0,Academic Researcher,Using Fuzzy,fuzzy logic applications,2,0.2606,0.226,fuzzy logic applications | fuzzy function approximators | fuzzy systems function approximation | function approximators in fuzzy logic | fuzzy systems types and architectures,P1=0.1943(Rank4) | P2=0.2606(Rank1) | P3=0.1943(Rank5) | P4=0.2203(Rank3) | P5=0.2606(Rank2),0.805,0.6797,P1=0.6388 | P2=0.805 | P3=0.6476 | P4=0.615 | P5=0.6922
110,Student Researcher,students from junior high to college experience from academic peer pressure from 2020 to 2025,peer pressure effects in asian high school students,5,0.1799,0.1674,peer pressure effects in asian high school students | academic peer pressure asian countries | peer pressure asian students outcomes | peer pressure definition asian students education | academic peer pressure effects asian countries,P1=0.154(Rank4) | P2=0.1745(Rank2) | P3=0.1745(Rank3) | P4=0.154(Rank5) | P5=0.1799(Rank1),0.652,0.6034,P1=0.5831 | P2=0.5656 | P3=0.652 | P4=0.5844 | P5=0.6319
111,Academic Researcher,AMS-02 Antiprotons from Annihilating or Decaying Dark Matter,dark matter annihilation AMS-02,1,0.4393,0.238,dark matter annihilation AMS-02 | dark matter neutrino interactions | dark matter antimatter annihilation | dark matter model antiproton production | dark matter interactions with stellar cores,P1=0.4393(Rank1) | P2=0.1786(Rank4) | P3=0.1598(Rank5) | P4=0.2061(Rank2) | P5=0.2061(Rank3),0.8231,0.6488,P1=0.8231 | P2=0.6958 | P3=0.4366 | P4=0.5203 | P5=0.7681
112,Academic Researcher,"Water Quality Analysis of the Coastal Regions of Sundarban Mangrove Wetland, India Using Multivariate Statistical Techniques",water quality remediation techniques,5,0.2355,0.159,water quality remediation techniques | Sundarban radium water | radium 226 water quality | water radon levels coastal mangroves | radium 226 water quality statistics,P1=0.1414(Rank3) | P2=0.1225(Rank4) | P3=0.1225(Rank5) | P4=0.173(Rank2) | P5=0.2355(Rank1),0.5169,0.3988,P1=0.3297 | P2=0.5169 | P3=0.4301 | P4=0.3163 | P5=0.401
113,Healthcare & Life Sciences Researcher,Increased neutrophil-to-lymphocyte ratio predicts the development of post-stroke infections in patients with acute ischemic stroke,risk factors acute ischemic stroke,5,0.2615,0.1721,risk factors acute ischemic stroke | successful treatment options for post ischemic stroke | inflammation markers stroke | biological mechanisms stroke immunology | early intervention stroke prevention compounds,P1=0.2088(Rank2) | P2=0.1274(Rank4) | P3=0.1123(Rank5) | P4=0.1506(Rank3) | P5=0.2615(Rank1),0.6233,0.5126,P1=0.4412 | P2=0.6233 | P3=0.3314 | P4=0.5851 | P5=0.5822
114,Academic Researcher,Computational modelling of thermo-mechanical and transport properties of carbon nanotubes,carbon nanotube modelling techniques,5,0.1683,0.0851,carbon nanotube modelling techniques | carbon nanotube sensing | carbon nanotube applications | carbon nanotube synthesis methods | CNT biosensor synthesis,P1=0.0904(Rank2) | P2=0.0904(Rank3) | P3=0.0(Rank5) | P4=0.0764(Rank4) | P5=0.1683(Rank1),0.7587,0.526,P1=0.4683 | P2=0.6287 | P3=0.22 | P4=0.5541 | P5=0.7587
115,Academic Researcher,Integration framework of process planning based on resource independent operation summary to support collaborative manufacturing,land remediation techniques,1,0.0,0.0,land remediation techniques | ecological restoration models | land restoration techniques | rehabilitation methods for degraded land | land restoration methods,P1=0.0(Rank1) | P2=0.0(Rank2) | P3=0.0(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.0447,0.0322,P1=0.0447 | P2=0.0441 | P3=0.0121 | P4=0.0164 | P5=0.0435
116,Healthcare & Life Sciences Researcher,Polyunsaturated fatty acids in multiple sclerosis therapy,polyunsaturated fatty acid effects on multiple sclerosis prognosis,1,0.368,0.2538,polyunsaturated fatty acid effects on multiple sclerosis prognosis | polyunsaturated fatty acids ms treatment | polyunsaturated fatty acids treatment options | fatty acid supplementation ms | fatty acid supplements ms,P1=0.368(Rank1) | P2=0.106(Rank4) | P3=0.3446(Rank2) | P4=0.106(Rank5) | P5=0.3446(Rank3),0.9368,0.7272,P1=0.9368 | P2=0.6697 | P3=0.7512 | P4=0.6508 | P5=0.6273
117,Academic Researcher,The Dark Strangers,dark matter detection experiments,1,0.1708,0.1558,dark matter detection experiments | dark matter astrophysics reviews | dark matter detection efficiency improvements | effective theory dark matter detectors | effective theory dark matter detection papers,P1=0.1708(Rank1) | P2=0.1506(Rank3) | P3=0.1363(Rank5) | P4=0.1708(Rank2) | P5=0.1506(Rank4),0.33,0.2919,P1=0.33 | P2=0.2945 | P3=0.2783 | P4=0.2525 | P5=0.3041
118,Healthcare & Life Sciences Researcher,Prevalence of respiratory disease and associated factors in an urban area of Delhi,Alzheimer disease treatments,4,0.084,0.0435,Alzheimer disease treatments | Alzheimer disease treatment options | Alzheimer disease neuromyelitis optica spectrum | amyloid beta inhibitors | demyelinating diseases overlap,P1=0.071(Rank2) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.084(Rank1) | P5=0.0626(Rank3),0.1716,0.0599,P1=0.0312 | P2=0.0252 | P3=0.1716 | P4=0.0178 | P5=0.0535
119,Academic Researcher,Land Use/Land Cover Change Analysis Using Object-Based Classification Approach in Munessa-Shashemene Landscape of the Ethiopian Highlands,munessa shashemene land use change,5,0.4624,0.3274,munessa shashemene land use change | GIS munessa shashemene land cover change | gis land cover change classification | savanna ecosystem munessa shashemene object-based classification | object based class,P1=0.1595(Rank5) | P2=0.3475(Rank3) | P3=0.2762(Rank4) | P4=0.3915(Rank2) | P5=0.4624(Rank1),0.6369,0.5397,P1=0.2877 | P2=0.6369 | P3=0.5622 | P4=0.5955 | P5=0.6163
120,Healthcare & Life Sciences Researcher,Family History in the Aetiology of Gestational Diabetes Mellitus and Type 2 Diabetes,type 2 diabetes drug candidates,5,0.2577,0.1331,type 2 diabetes drug candidates | genetic markers for gestational diabetes | diabetes genetics pathway | diabetic complication risk factor | gene/protein name related to diabetic complications,P1=0.2233(Rank2) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.1844(Rank3) | P5=0.2577(Rank1),0.6879,0.4833,P1=0.6879 | P2=0.3927 | P3=0.4503 | P4=0.5296 | P5=0.3561
121,Engineering & Tech Developer,LSec: Lightweight Security Protocol for Distributed Wireless Sensor Network,wireless sensor network lsec integration,1,0.4393,0.2886,wireless sensor network lsec integration | wireless sensor network security protocols | lightweight security protocols wireless sensor networks | mqtt security protocols | iot microcontrollers with mqtt lsec integration,P1=0.4393(Rank1) | P2=0.4393(Rank2) | P3=0.3808(Rank3) | P4=0.074(Rank5) | P5=0.1096(Rank4),0.8528,0.6548,P1=0.699 | P2=0.7637 | P3=0.8528 | P4=0.4675 | P5=0.4909
122,Healthcare & Life Sciences Researcher,Ai inproving medicine,ai medicine gene compound,5,0.4112,0.191,ai medicine gene compound | ai compound therapy | ai in drug discovery | ai in health research | compound name,P1=0.202(Rank2) | P2=0.1708(Rank3) | P3=0.0(Rank5) | P4=0.1708(Rank4) | P5=0.4112(Rank1),0.8031,0.5748,P1=0.6841 | P2=0.7436 | P3=0.0561 | P4=0.8031 | P5=0.5873
123,Engineering & Tech Developer,A Segmentation-Based Motion-Compensated Scheme for Low-rate Video Coding.,motion compensated video segmentation schemes,2,0.411,0.1386,motion compensated video segmentation schemes | motion compensated dct coefficients | dct motion compensation schemes | TB SVQ optimization techniques | tb-svq implementation examples,P1=0.0(Rank4) | P2=0.411(Rank1) | P3=0.1943(Rank2) | P4=0.0877(Rank3) | P5=0.0(Rank5),0.7784,0.3516,P1=0.1144 | P2=0.7784 | P3=0.3484 | P4=0.4218 | P5=0.095
124,Engineering & Tech Developer,swarm manipulation vr,vr boids optimization,1,0.202,0.1087,vr boids optimization | vr boid optimization algorithms | vr flock simulation software | boids flocking behavior virtual reality | boid simulation software,P1=0.202(Rank1) | P2=0.1708(Rank2) | P3=0.0(Rank4) | P4=0.1708(Rank3) | P5=0.0(Rank5),0.7092,0.5263,P1=0.5332 | P2=0.4808 | P3=0.6066 | P4=0.7092 | P5=0.3016
125,Student Researcher,Tennyson literary skill,tennyson literary technique analysis,3,0.4112,0.2493,tennyson literary technique analysis | tennyson works | tennyson poetry collection | tennyson poetry analysis | tennyson victorian literature themes,P1=0.202(Rank3) | P2=0.202(Rank4) | P3=0.4112(Rank1) | P4=0.1708(Rank5) | P5=0.2606(Rank2),0.8457,0.7279,P1=0.7091 | P2=0.7338 | P3=0.8457 | P4=0.7263 | P5=0.6248
126,Student Researcher,portraiture as a research design in education in displacement settings,portraiture research design education displacement,3,0.5447,0.3387,portraiture research design education displacement | portraiture research design displacement studies | portraiture methods education displacement | portraiture education efficacy | portrait education displacement,P1=0.2256(Rank4) | P2=0.2256(Rank5) | P3=0.5447(Rank1) | P4=0.3876(Rank2) | P5=0.3102(Rank3),0.8933,0.8293,P1=0.7244 | P2=0.8681 | P3=0.8885 | P4=0.7723 | P5=0.8933
127,Business & Economics Researcher,Safran Groupe,safran group aerospace,5,0.2606,0.1402,safran group aerospace | safran revenue over time | Safran industry supply chain | aerospace company performance | aerospace defense company profitability,P1=0.2203(Rank2) | P2=0.0(Rank4) | P3=0.2203(Rank3) | P4=0.0(Rank5) | P5=0.2606(Rank1),0.6296,0.3371,P1=0.4588 | P2=0.0921 | P3=0.4626 | P4=0.0422 | P5=0.6296
128,Engineering & Tech Developer,The Management of Software Engineering. Part III: Software Design Practices.,software engineering authors,1,0.3468,0.2231,software engineering authors | author name software engineering | mega software engineering principles | software development authors | leadership frameworks,P1=0.3468(Rank1) | P2=0.2834(Rank2) | P3=0.2834(Rank3) | P4=0.0(Rank5) | P5=0.202(Rank4),0.5613,0.4521,P1=0.5613 | P2=0.5189 | P3=0.5239 | P4=0.1964 | P5=0.4598
129,Academic Researcher,Realising evidence-based software engineering.,software engineering methodologies,2,0.3563,0.2122,software engineering methodologies | software engineering authors | probabilistic software analogy measures | probabilistic software estimation methods | probabilistic similarity measures for analogy based estimation,P1=0.0935(Rank5) | P2=0.3563(Rank1) | P3=0.1274(Rank3) | P4=0.1274(Rank4) | P5=0.3563(Rank2),0.4874,0.3807,P1=0.1392 | P2=0.4874 | P3=0.4412 | P4=0.3642 | P5=0.4713
130,Academic Researcher,Cultural Models and their Interplay in Global Software-Engineering Practice.,cultural models software engineering practice,3,0.5797,0.2273,cultural models software engineering practice | software engineering author study | author citations cultural models | software engineering measures author research | globalization impacts on SE practices,P1=0.0(Rank5) | P2=0.1684(Rank4) | P3=0.5797(Rank1) | P4=0.1943(Rank2) | P5=0.1943(Rank3),0.9233,0.5534,P1=0.4786 | P2=0.4755 | P3=0.9233 | P4=0.4801 | P5=0.4097
131,Academic Researcher,Specification Matching of Web Services Using Conditional Graph Transformation Rules.,conditional graph transformation rules,3,0.5023,0.3723,conditional graph transformation rules | graph transformation web services | specification matching graph transformation systems | typed graph transformation systems rules | graph transformation systems author publications,P1=0.1684(Rank5) | P2=0.2774(Rank4) | P3=0.5023(Rank1) | P4=0.411(Rank3) | P5=0.5023(Rank2),0.7575,0.6333,P1=0.4842 | P2=0.599 | P3=0.6508 | P4=0.7575 | P5=0.6748
132,Engineering & Tech Developer,A Low-Complexity Cross-Layer Optimization Algorithm for Video Communication Over Wireless Networks.,cross layer optimization algorithms,1,0.2951,0.1598,cross layer optimization algorithms | cross layer protocol design | video streaming wifi optimization | voip cross layer wifi performance | researcher profile author name,P1=0.2951(Rank1) | P2=0.1758(Rank2) | P3=0.0(Rank5) | P4=0.1758(Rank3) | P5=0.1523(Rank4),0.5974,0.3949,P1=0.5699 | P2=0.4176 | P3=-0.0233 | P4=0.5974 | P5=0.4127
133,Business & Economics Researcher,logistics production-distribution,logistics distribution channels,2,0.5031,0.256,logistics distribution channels | logistics optimization solutions | logistics optimization software | logistics optimization strategies | logistics process optimization strategies,P1=0.202(Rank2) | P2=0.5031(Rank1) | P3=0.1708(Rank5) | P4=0.202(Rank3) | P5=0.202(Rank4),0.7226,0.6712,P1=0.6794 | P2=0.7226 | P3=0.6743 | P4=0.607 | P5=0.6729
134,Business & Economics Researcher,self worth,self worth concepts,2,0.7093,0.362,self worth concepts | self worth at work | worth assessment tool | short worth perceptions | motivation factors,P1=0.5797(Rank2) | P2=0.7093(Rank1) | P3=0.0(Rank5) | P4=0.2606(Rank3) | P5=0.2606(Rank4),0.8024,0.5783,P1=0.7744 | P2=0.8024 | P3=0.3342 | P4=0.4681 | P5=0.5124
135,Student Researcher,local government  in Bangladesh,local government in bangladesh,2,1.0,0.2683,local government in bangladesh | Bangladesh governance corruption | academic sources government | examples implementation | public administration performance,P1=0.0(Rank4) | P2=1.0(Rank1) | P3=0.1708(Rank2) | P4=0.1708(Rank3) | P5=0.0(Rank5),1.0,0.467,P1=0.0959 | P2=1.0 | P3=0.6701 | P4=0.281 | P5=0.288
136,Healthcare & Life Sciences Researcher,activated charcoal no2,activated charcoal no2 interactions,4,0.7765,0.3984,activated charcoal no2 interactions | activated charcoal impurities | Activated charcoal in wound healing | research on activated charcoal safety | substances that work in conjunction,P1=0.3563(Rank3) | P2=0.0(Rank5) | P3=0.3563(Rank4) | P4=0.7765(Rank1) | P5=0.5031(Rank2),0.9007,0.645,P1=0.6062 | P2=0.2943 | P3=0.6732 | P4=0.9007 | P5=0.7504
137,Sustainability & Climate Researcher,rammed earth and winter climate,rammed earth sustainable building techniques,2,0.2523,0.1873,rammed earth sustainable building techniques | rammed earth thermal mass properties | rammed earth insulation for cold climates | rammed earth construction techniques for cold climates | eco friendly building materials,P1=0.2258(Rank3) | P2=0.2523(Rank1) | P3=0.0(Rank5) | P4=0.2523(Rank2) | P5=0.2061(Rank4),0.7882,0.5661,P1=0.7204 | P2=0.5391 | P3=0.1519 | P4=0.6308 | P5=0.7882
138,Engineering & Tech Developer,Reaction time,reaction time training exercises,2,0.5797,0.2319,reaction time training exercises | reaction time measurement methods | reactive systems examples | athletes training methods | athletic training methods,P1=0.0(Rank3) | P2=0.5797(Rank1) | P3=0.5797(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.7314,0.3634,P1=0.3344 | P2=0.6315 | P3=0.7314 | P4=0.0694 | P5=0.0505
139,Engineering & Tech Developer,semiconductor quantum,quantum semiconductor tech,1,0.7093,0.2461,quantum semiconductor tech | quantum electronics component | quantum dot material | electronic component demos | electronic component name search,P1=0.7093(Rank1) | P2=0.2606(Rank2) | P3=0.2606(Rank3) | P4=0.0(Rank4) | P5=0.0(Rank5),0.875,0.5433,P1=0.875 | P2=0.7445 | P3=0.5892 | P4=0.2396 | P5=0.2681
140,Student Researcher,organizational ergonomics in the workplace,organizational ergonomics research papers,2,0.2912,0.1466,organizational ergonomics research papers | ergonomics implementation strategies workplace | ergonomic workplace solutions | ergonomic design tools | ergonomic works,P1=0.1506(Rank3) | P2=0.2912(Rank1) | P3=0.0(Rank4) | P4=0.2912(Rank2) | P5=0.0(Rank5),0.8474,0.7477,P1=0.7709 | P2=0.8474 | P3=0.6123 | P4=0.8264 | P5=0.6817
141,Business & Economics Researcher,esports cafe business,esports cafe business model,2,0.7765,0.4608,esports cafe business model | esports cafe operations | esports cafe startup costs | esports cafe operations problems | gaming cafe businesses,P1=0.4112(Rank3) | P2=0.7765(Rank1) | P3=0.202(Rank5) | P4=0.4112(Rank4) | P5=0.5031(Rank2),0.9121,0.8399,P1=0.7754 | P2=0.9121 | P3=0.7873 | P4=0.8207 | P5=0.904
142,Engineering & Tech Developer,semiconductor layer quantum communication,quantum entanglement semiconductor,3,0.4112,0.285,quantum entanglement semiconductor | semiconductor industry quantum entanglement | semiconductor quantum computing materials | quantum computing semiconductors | quantum dot materials,P1=0.1708(Rank4) | P2=0.3361(Rank2) | P3=0.4112(Rank1) | P4=0.3361(Rank3) | P5=0.1708(Rank5),0.716,0.6207,P1=0.7078 | P2=0.6181 | P3=0.716 | P4=0.6523 | P5=0.4094
143,Student Researcher,library services,library services keywords,1,0.7093,0.4136,library services keywords | library services impact | library usage analysis | library usage in local schools | library usage in rural areas,P1=0.7093(Rank1) | P2=0.1943(Rank4) | P3=0.2606(Rank3) | P4=0.1943(Rank5) | P5=0.7093(Rank2),0.7991,0.6792,P1=0.7698 | P2=0.5986 | P3=0.6415 | P4=0.5868 | P5=0.7991
144,Student Researcher,AI and art,AI applications art,1,0.5031,0.2471,AI applications art | AI creativity | ai applications in education | AI impact on human creativity | ai society impact author research,P1=0.5031(Rank1) | P2=0.1506(Rank4) | P3=0.2606(Rank2) | P4=0.1506(Rank5) | P5=0.1708(Rank3),0.7965,0.6591,P1=0.7729 | P2=0.6956 | P3=0.7965 | P4=0.5005 | P5=0.5301
145,Engineering & Tech Developer,2D Asymmetric Diffuser,asymmetric diffuser 3d,2,0.5031,0.4245,asymmetric diffuser 3d | asymmetric diffuser designs | asymmetric diffuser components | asymmetric diffuser optimization keywords | short diffuser designs,P1=0.202(Rank5) | P2=0.5031(Rank1) | P3=0.5031(Rank2) | P4=0.4112(Rank4) | P5=0.5031(Rank3),0.9221,0.8303,P1=0.6706 | P2=0.9221 | P3=0.8885 | P4=0.7964 | P5=0.8738
146,Student Researcher,visual  design,visual design principles,1,0.7093,0.5109,visual design principles | visual design concepts | visual identity design brief | design principles | visual identity brand guidelines,P1=0.7093(Rank1) | P2=0.7093(Rank2) | P3=0.5797(Rank3) | P4=0.2203(Rank5) | P5=0.3361(Rank4),0.8692,0.6552,P1=0.8408 | P2=0.8692 | P3=0.6078 | P4=0.3797 | P5=0.5783
147,Sustainability & Climate Researcher,Sustainable waste management and solution food service,sustainable waste management cases,4,0.4074,0.2115,sustainable waste management cases | sustainable waste management best practices | zero waste kitchen designs | zero waste cooking methods | sustainable materials for building construction,P1=0.0935(Rank5) | P2=0.3446(Rank2) | P3=0.106(Rank3) | P4=0.4074(Rank1) | P5=0.106(Rank4),0.756,0.5631,P1=0.2387 | P2=0.7541 | P3=0.5423 | P4=0.756 | P5=0.5243
148,Sustainability & Climate Researcher,Munggo (Vigna radiata) Beans,Munggo bean bioplastic production methods,3,0.1274,0.0255,Munggo bean bioplastic production methods | sustainable bioplastic recipes | sustainable bioplastic technologies | efficient bioplastic production methods | bioplastic production techniques,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.1274(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.567,0.1632,P1=0.117 | P2=0.0258 | P3=0.567 | P4=0.0413 | P5=0.0651
149,Policy & Security Analyst,imran khan cricketer,imran khan politics,1,0.5031,0.3657,imran khan politics | imran khan pakistan | imran khan political record | imran khan pakistani politics | pakistan cricket team news,P1=0.5031(Rank1) | P2=0.4112(Rank3) | P3=0.5031(Rank2) | P4=0.4112(Rank4) | P5=0.0(Rank5),0.878,0.7094,P1=0.735 | P2=0.7336 | P3=0.878 | P4=0.755 | P5=0.4455
150,Engineering & Tech Developer,Nuclear programs,nuclear engineer resume,5,0.2606,0.2232,nuclear engineer resume | nuclear engineering courses online | nuclear power finance trends | nuclear power finance instruments | nuclear power engineering current projects,P1=0.1943(Rank5) | P2=0.2203(Rank2) | P3=0.2203(Rank3) | P4=0.2203(Rank4) | P5=0.2606(Rank1),0.5913,0.5685,P1=0.5813 | P2=0.5437 | P3=0.5913 | P4=0.5833 | P5=0.5429
151,Engineering & Tech Developer,Programming a robot.,robot programming languages,1,0.7093,0.329,robot programming languages | multi robot kinematics | robotic programming keywords | collision avoidance robot implementation | multi robot collision avoidance algorithms,P1=0.7093(Rank1) | P2=0.2606(Rank2) | P3=0.1943(Rank5) | P4=0.2203(Rank4) | P5=0.2606(Rank3),0.8183,0.593,P1=0.8183 | P2=0.4752 | P3=0.4023 | P4=0.5234 | P5=0.7457
152,Academic Researcher,One dogma of philosophy of action,philosophy of action,3,0.7321,0.2627,philosophy of action | one dogma philosophy | dogmatic approaches to action | mind-artificial intelligence intersection | short-term memory,P1=0.0987(Rank3) | P2=0.4827(Rank2) | P3=0.7321(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.8447,0.5401,P1=0.7274 | P2=0.7556 | P3=0.8447 | P4=0.2363 | P5=0.1366
153,Engineering & Tech Developer,Business-Oriented Component-Based Software Development and Evolution.,component based software,5,0.4827,0.2717,component based software | software development frameworks | component based frameworks | software development environment tool | software integration tools,P1=0.1167(Rank5) | P2=0.2203(Rank4) | P3=0.2695(Rank2) | P4=0.2695(Rank3) | P5=0.4827(Rank1),0.6727,0.519,P1=0.3987 | P2=0.4624 | P3=0.4581 | P4=0.603 | P5=0.6727
154,Academic Researcher,Synthesis of cryptographic interleaved sequences by means of linear cellular automata.,linear cellular automata applications,2,0.282,0.149,linear cellular automata applications | linear cellular automata mssg | mssg linear ca | linear ca properties | mssg markov chain transition probability,P1=0.0904(Rank3) | P2=0.282(Rank1) | P3=0.282(Rank2) | P4=0.0904(Rank4) | P5=0.0(Rank5),0.6728,0.3476,P1=0.1936 | P2=0.6728 | P3=0.5926 | P4=0.1704 | P5=0.1087
155,Student Researcher,Child Development and Job Creation,child development and job creation,5,1.0,0.429,child development and job creation | child development theories | child development triple dividend | child development education policies | early childhood education job creation triple dividend,P1=0.2912(Rank3) | P2=0.2061(Rank5) | P3=0.3563(Rank2) | P4=0.2912(Rank4) | P5=1.0(Rank1),1.0,0.6719,P1=0.463 | P2=0.5878 | P3=0.6744 | P4=0.6342 | P5=1.0
156,Academic Researcher,Interlocking Concrete Block Paving (ICBP): A Review,aggregate types in interlocking concrete block paving,4,0.4503,0.1664,aggregate types in interlocking concrete block paving | asphalt pavement over icbp | waste type icbp durability | Effect of alternative soil conditions on ICBP | mechanical properties of ICBP with different types of waste,P1=0.1152(Rank2) | P2=0.0666(Rank5) | P3=0.0846(Rank4) | P4=0.4503(Rank1) | P5=0.1152(Rank3),0.718,0.5437,P1=0.6191 | P2=0.4317 | P3=0.502 | P4=0.718 | P5=0.4478
157,Academic Researcher,Synthesis and Transformation of Logic Programs Using Unfold/Fold Proofs.,logic program transformation techniques,1,0.1943,0.1238,logic program transformation techniques | monadic second order unfold proofs | Constraint Logic Program Synthesis Techniques | logic program optimization techniques | contextual specialization cclp,P1=0.1943(Rank1) | P2=0.0877(Rank4) | P3=0.1684(Rank2) | P4=0.0(Rank5) | P5=0.1684(Rank3),0.7572,0.5451,P1=0.7572 | P2=0.5802 | P3=0.5539 | P4=0.1993 | P5=0.6349
158,Academic Researcher,Web Service = E + F + I.,logic programming web services,5,0.2203,0.0829,logic programming web services | logic programming as a service author | author publications logic | author logic programming services | author works in logic programming,P1=0.1943(Rank2) | P2=0.0(Rank3) | P3=0.0(Rank4) | P4=0.0(Rank5) | P5=0.2203(Rank1),0.3845,0.1631,P1=0.2389 | P2=-0.0158 | P3=0.1638 | P4=0.0441 | P5=0.3845
159,Academic Researcher,Performance Tuning in Answer Set Programming.,answer set programming solving methods,3,0.3809,0.0762,answer set programming solving methods | asp optimization algorithms | asp optimization techniques | asp constraint satisfaction approaches | optimization techniques asp pro,P1=0.0(Rank2) | P2=0.0(Rank3) | P3=0.3809(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.717,0.4253,P1=0.3757 | P2=0.3415 | P3=0.717 | P4=0.3537 | P5=0.3385
160,Academic Researcher,from quantum to classical,quantum to classical transition mechanisms,3,0.5101,0.2816,quantum to classical transition mechanisms | quantum computing classical limits | quantum decoherence | quantum decoherence models | quantum decoherence dynamics,P1=0.3361(Rank2) | P2=0.2203(Rank3) | P3=0.5101(Rank1) | P4=0.1708(Rank4) | P5=0.1708(Rank5),0.7155,0.5529,P1=0.6151 | P2=0.5011 | P3=0.7155 | P4=0.4656 | P5=0.4671
161,Engineering & Tech Developer,Quantum internet,quantum internet applications,2,0.7093,0.5039,quantum internet applications | short internet quantum | quantum internet company tech | quantum networking concepts | quantum key distribution,P1=0.2606(Rank4) | P2=0.7093(Rank1) | P3=0.7093(Rank2) | P4=0.5797(Rank3) | P5=0.2606(Rank5),0.9278,0.776,P1=0.7932 | P2=0.9278 | P3=0.8478 | P4=0.7978 | P5=0.5134
162,Student Researcher,sufism,sufism conservation,5,0.5797,0.3856,sufism conservation | sufism sustainability ecology | sufism environmental studies | sufism ecology crisis | sufi ecology,P1=0.4494(Rank2) | P2=0.4494(Rank3) | P3=0.0(Rank5) | P4=0.4494(Rank4) | P5=0.5797(Rank1),0.8119,0.7657,P1=0.7185 | P2=0.8119 | P3=0.7779 | P4=0.7739 | P5=0.7462
163,Student Researcher,color semiotics,color theory,1,0.3361,0.1193,color theory | color symbolism theory | colour theory topics | colour theory | colour theory education,P1=0.3361(Rank1) | P2=0.0(Rank3) | P3=0.2606(Rank2) | P4=0.0(Rank4) | P5=0.0(Rank5),0.6544,0.6161,P1=0.6276 | P2=0.6126 | P3=0.6544 | P4=0.6308 | P5=0.5551
164,Academic Researcher,Computational and mathematical methods in science and engineering.,computational methods science engineering,4,0.5023,0.1687,computational methods science engineering | computational biology | computational method algorithm | mathematical modeling applications | numerical analysis optimization,P1=0.1037(Rank3) | P2=0.0(Rank5) | P3=0.1338(Rank2) | P4=0.5023(Rank1) | P5=0.1037(Rank4),0.6946,0.5758,P1=0.5954 | P2=0.4907 | P3=0.4767 | P4=0.6946 | P5=0.6216
165,Engineering & Tech Developer,smart biomaterials,smart biomaterials properties,2,0.7093,0.4999,smart biomaterials properties | smart biomaterials durability test methods | smart biomaterials tissue regeneration applications | smart biomaterials for tissue regeneration graphene | biomaterials synthesis,P1=0.4494(Rank4) | P2=0.7093(Rank1) | P3=0.5023(Rank2) | P4=0.3361(Rank5) | P5=0.5023(Rank3),0.9128,0.7182,P1=0.6016 | P2=0.9128 | P3=0.6786 | P4=0.6802 | P5=0.7178
166,Student Researcher,BARANGAY COMMUNITY ROAD DAMAGE REPORTING SYSTEM,community road damage reporting system features,2,0.7168,0.4926,community road damage reporting system features | barangay vs community road damage reporting | road damage reporting systems | road damage causes | road damage analysis systems,P1=0.3188(Rank4) | P2=0.7168(Rank1) | P3=0.2606(Rank5) | P4=0.7168(Rank2) | P5=0.4502(Rank3),0.8986,0.7174,P1=0.4724 | P2=0.8011 | P3=0.634 | P4=0.8986 | P5=0.7807
167,Student Researcher,related to topic savings and allowance in highschool,savings highschool student allowance,2,0.3748,0.1844,savings highschool student allowance | highschool savings studies | savings allowance examples high school | daily allowance programs success rates | high school student financial literacy,P1=0.0(Rank5) | P2=0.3748(Rank1) | P3=0.1909(Rank3) | P4=0.2695(Rank2) | P5=0.087(Rank4),0.7426,0.6158,P1=0.5101 | P2=0.7184 | P3=0.7426 | P4=0.679 | P5=0.4288
168,Sustainability & Climate Researcher,socioeconomic impacts,socioeconomic impacts biofuels transition,5,0.5797,0.1681,socioeconomic impacts biofuels transition | biofuel socioeconomic effects | biofuels sustainable energy author research | biofuels policy frameworks | sustainable alternative energy options,P1=0.0(Rank3) | P2=0.0(Rank4) | P3=0.0(Rank5) | P4=0.2606(Rank2) | P5=0.5797(Rank1),0.6358,0.3448,P1=0.1462 | P2=0.2192 | P3=0.1156 | P4=0.6358 | P5=0.6071
169,Engineering & Tech Developer,muscle contraction,material science muscle models,3,0.2203,0.0829,material science muscle models | polymer properties in muscle cells | polymerrproperties | muscle_fiber_types | polymer biopolymer interactions,P1=0.1943(Rank2) | P2=0.0(Rank3) | P3=0.2203(Rank1) | P4=0.0(Rank4) | P5=0.0(Rank5),0.4014,0.2619,P1=0.3653 | P2=0.1385 | P3=0.3936 | P4=0.4014 | P5=0.0109
